video_id,title,published_at,view_count,like_count,comment_count,duration_seconds,thumbnail_url,description,tags,genre_id,confidence,reason
HRMT9UBlgfo,【東大リスニング対策】No3 これ聞けないなら、東大受験はやめとけ。,2026-02-24T00:35:57Z,57,0,0,384,https://i.ytimg.com/vi/HRMT9UBlgfo/maxresdefault.jpg,"【東大リスニング】第3回：The Dynamics of Free Will and Coercion: Psychological Mechanisms Behind Voluntary and Compelled Actions | 受験リスニング対策

■ 東大リスニング対策のポイント
東大リスニングは、長い対話や講義を聞き、内容を正確に把握する力が求められます。この動画では、実際の形式に近い3者対話を用いて、要約力と情報処理能力を鍛えます。

■ Questions
Q1. What does Student A believe many voluntary actions are influenced by?
A) Intense personal desires
B) Subtle societal pressures
C) Emotional spontaneity
D) Economic factors
正解: B
解説: 学生Aは、社会的圧力が自発的と見なされる行動に微妙に影響を与えていると示唆しています。

Q2. What does Sarah mean when she says that internalization makes actions genuinely voluntary?
A) Social norms are always visible.
B) Social norms are unconsciously adopted.
C) Individuals are compelled to act.
D) Personal liberty is overridden by coercion.
正解: B
解説: サラは、規範を内面化することが本当に自発的な行動につながると主張しており、これは無意識の採用を意味しています。

Q3. What is the Professor's main point about the nature of voluntary actions?
A) Voluntary actions are never free from coercion.
B) Both perception and societal pressure play roles in motivating actions.
C) Historical factors have removed coercion from voluntary actions.
D) Liberty means being free from all forms of pressure.
正解: B
解説: 教授は、知覚と社会的圧力の両方が動機に影響を与えていると述べることで、議論を総合しています。

■ Vocabulary
・intense: 激しい

・force: 力, 勢力, 軍事力, にすることを強制する

・compel: にすることを強いる

・oblige: にすることを義務づける, 余儀なくさせる

・voluntary: 自発的な

・spontaneous: 自発的な, 自然発生的な

・free: 自由な, 無料の, 暇な

・liberty: 自由

・release: を解放する

・capture: を捕らえる

■ Script
While it's evident that voluntary actions are driven by a sense of spontaneity and liberty, I propose that many actions perceived as voluntary are subtly influenced by societal pressures. For instance, cultural norms can obligate behaviors that seem free.
自発的な行動は自発性と自由感によって駆動されることは明白ですが、多くの自発的とされる行動は社会的圧力によって微妙に影響されていると提案します。例えば、文化的な規範は自由に見える行動を義務づけることがあります。

I see your point, Alex, yet I'd argue that individuals often internalize these norms, making the actions genuinely voluntary. Take the act of voting; while it's a social expectation, the choice to participate remains intrinsically one's own decision.
アレックス、あなたの指摘は理解できますが、人々はしばしばこれらの規範を内面化し、行動を本当に自発的なものにしていると主張したいです。投票行動を例にとっても、それが社会的期待であっても、参加するかどうかの選択は本来個人の決定です。

Compelling argument, Sarah, but that assumes the absence of any subtle coercion, which isn’t entirely true. The intense desire to conform can force decisions, overshadowing personal liberty.
説得力のある主張ですね、サラ。しかし、これは微妙な強制が全く存在しないと仮定していますが、それは完全に正しくありません。強烈な同調圧力が決定を強制し、個人の自由を圧倒することがあります。

Sarah, your point about internalization adds depth to our understanding of so-called voluntary actions. Alex, you're highlighting an integral aspect of coercion. As a moderator, let's consider the dynamics involved: societal forces can indeed compel behaviors under the veil of free will. From a historical perspective, liberty often encompasses both voluntary acts and those obliged by external pressures.
サラ、内面化についてのあなたの指摘は、いわゆる自発的行動の理解を深めます。アレックス、あなたは強制の重要な側面を強調しています。これを踏まえて、社会の力が自由意志の仮面の下で行動を強いることがあると考えてみましょう。歴史的観点からすると、自由はしばしば自発的行動と外部の圧力による義務を含んでいます。

Granted, some actions are coerced, but I'd say the subjective experience of freedom is what ultimately matters. If someone believes they are acting freely, their perception can arguably release them from the psychological bindings of coercion.
確かに、ある行動は強制されているものの、最終的に重要なのは自由の主観的な体験だと思います。誰かが自分が自由に行動していると信じているなら、その認識は彼らを強制の心理的拘束から解放することができると言えるでしょう。

Excellent insight, Sarah, on the importance of personal perception. Alex, while Sarah does have a point about subjective experience, your observations about societal pressure remain vital. Let's pause and consider how these factors intertwine to influence what truly motivates action.
サラ、個人の認識の重要性についての見識は素晴らしいですね。アレックス、サラの主観的体験に関する指摘もありますが、社会的圧力についてのあなたの観察も重要です。これらの要素がどのように絡み合い、行動の真の動機に影響を与えているのか考えてみましょう。


#東大 #東大英語",,listening_todai,high,タイトルと説明が東大リスニング対策だから
bA4iMPV_4kU,【東大リスニング対策】これ聞けないなら、東大受験はやめとけ。No2,2026-02-22T23:56:06Z,43,1,0,408,https://i.ytimg.com/vi/bA4iMPV_4kU/maxresdefault.jpg,"【東大リスニング】第4回：Psychological Impacts of Body Language: How Posture and Gestures Influence Human Behavior | 受験リスニング対策

■ 東大リスニング対策のポイント
東大リスニングは、長い対話や講義を聞き、内容を正確に把握する力が求められます。この動画では、実際の形式に近い3者対話を用いて、要約力と情報処理能力を鍛えます。

■ Questions
Q1. What does Student A question about an erect posture?
A) Its impact on personal confidence.
B) Its universal applicability across cultures.
C) Its effect on professional relationships.
D) Its role in Western societies.
正解: B
解説: 学生Aは、直立した姿勢が自信に与える影響がさまざまな文化において普遍的に適用可能かどうかを疑問視しています。

Q2. What is Professor's stance on the era from which certain gestures spread?
A) They appear suddenly in different cultures.
B) They spread historically with absorbed new meanings.
C) They are biologically ingrained.
D) They are often misunderstood.
正解: B
解説: 教授はサラとアレックスの意見を認め、それからジェスチャーがある文化から別の文化に広がり、長い時間をかけて新しい意味を吸収する方法について説明しています。

Q3. What is the main idea the Professor conveys regarding body language?
A) It mainly has cultural origins.
B) It demands a combined view of biology and culture.
C) It's universally understood due to biological roots.
D) It's predominantly a Western concept.
正解: B
解説: 教授は、ボディーランゲージをその複雑さを真に把握するためには、生物学的および文化的視点の両方から理解する必要があることを強調しています。

■ Vocabulary
・divide: を分割する

・diffuse: をまき散らす, 分散する, 拡散する

・scatter: をまき散らす

・spread: 広がる, 普及する

・bend: を曲げる

・incline: を傾ける, したい気持ちにさせる

・lean: に寄りかかる, もたれる

・erect: を直立させる, 建てる, 直立した

・emit: を放出する, 排出する

・absorb: を吸収する

■ Script
The influence of body language on psychological states is profound, involving both posture and gestures. When an individual maintains an erect posture, studies suggest they not only appear confident but also feel more self-assured. However, I wonder if this is universally applicable across different cultures?
ボディーランゲージが心理状態に及ぼす影響は深いもので、姿勢やジェスチャーの両方が関係しています。直立した姿勢を保つと、自信があるように見えるだけでなく、実際に自信があると感じるという研究があります。しかし、これは異なる文化においても普遍的に適用できるのでしょうか？

I see your point, but that assumes a homogeneity across cultures that doesn't exist. In some Asian cultures, a less erect posture can indicate respect rather than a lack of confidence. Instead, what interests me is how gestures diffuse across these cultural boundaries and still manage to convey similar psychological impacts.
なるほど、しかしそれは文化間の均質性を前提としていますが、実際には存在しません。例えば、いくつかのアジア文化では、少し傾いた姿勢が自信の欠如ではなく、むしろ敬意を示すことがあります。代わりに、ジェスチャーが文化の境界を越えて広がり、なおかつ似たような心理的影響を伝える方法に興味があります。

Sarah, your emphasis on cultural variability is vital, as it highlights a crucial aspect of our discussion. Alex, while you're observing universal patterns, you're overlooking how nuanced these interactions can be. Let's pause and consider the historical perspective where certain gestures initially diffuse from one culture and gradually absorb new meanings within another. Granted, facial expressions can sometimes be more culturally variable, but the inclination or leaning of one's posture often speaks across these divides.
サラ、文化的な多様性に注目した点は非常に重要です。これは私たちの議論の重要な側面を浮き彫りにしています。アレックス、あなたは普遍的なパターンを観察していますが、これらの相互作用がどれほど微妙であるかを見逃しているかもしれません。歴史的な視点から考えると、特定のジェスチャーがある文化から他の文化に広がり、徐々に新しい意味を吸収するケースがあります。顔の表情は時にはもっと文化的に変動し得ますが、姿勢の傾きやもたれかかりが文化の隔たりを超えてメッセージとして伝わることは多いです。

Granted, cultural context greatly influences interpretation, but isn't there an underlying biological component that makes certain gestures universally understood? For instance, a smile tends to emit positive signals almost everywhere.
確かに、文化的な文脈が解釈に大きく影響しますが、いくつかのジェスチャーが普遍的に理解される要因として、基礎的な生物学的要素があるのではないですか？例えば、笑顔はほぼどこでもポジティブなシグナルを発する傾向があります。

I'd have to disagree with that specific figure, at least partly. While it's true smiles often spread happiness, there are contexts where they may convey diffidence or even sarcasm.
その点については少し否定したいと思います。確かに笑顔はしばしば幸福を広めますが、場によっては、控え目や皮肉を示すこともあります。

Alex and Sarah, your points remind us of the layers involved in interpreting body language. We must continuously bend our understanding to incorporate both biological and cultural lenses. By approaching this topic without dividing the biological from the cultural, we better appreciate the complexity inherent in human interaction.
アレックスとサラ、あなた方の意見は、ボディーランゲージの解釈に関与する層の複雑さを思い出させます。我々は、生物学的視点と文化的視点の両方を取り入れるために、常に理解を曲げなければなりません。生物学と文化を分割することなくこのトピックにアプローチすることで、人間の相互作用に内在する複雑さをより理解できるのです。

#東大リスニング #大学受験 #英語リスニング #英単語帳鉄壁 #難関大対策 #AI英語学習 #リスニング対策",,listening_todai,high,東大リスニング対策動画のため
MFzQsfGvZSA,【東大リスニング対策】これ聞けないなら、東大受験はやめとけ。No1,2026-02-11T22:45:15Z,362,0,2,352,https://i.ytimg.com/vi/MFzQsfGvZSA/maxresdefault.jpg,"【大学受験リスニング対策（東大）】

Titel: The Significance and Consequences of Global Economic Policies: Analyzing Vital, Indispensable, and Crucial Factors in Contemporary Globalization.

■ Questions
Q1. What is Alex's opinion on the role of economic policies?
A) They are essential pillars shaping international relations.
B) They are mere guidelines.
C) They are harmful to globalization.
D) They have a minor impact on global trade.
正解: A
解説: アレックスは、経済政策は単なる指針ではなく、国際関係の形成において基本的な要素であることを強調しています。

Q2. Why does Sarah doubt the indispensability of all economic policies?
A) Some policies lead to instability.
B) Some nations thrive despite certain policies.
C) Policies rarely have global impact.
D) Policies are too rigid and unchangeable.
正解: B
解説: サラは特定の貿易制限があるにもかかわらず繁栄している国を例に挙げ、すべての政策が必要不可欠であることに疑問を投げかけています。

Q3. What main idea can be inferred regarding the debate on economic policies?
A) Both adaptation and stability are important in policy-making.
B) Economic policies are universally effective.
C) Existing frameworks are superior in dynamic situations.
D) The vivid impact of policies is their most crucial aspect.
正解: A
解説: この議論から、政策によってもたらされる安定性（アレックスの主張）とサラが提唱する柔軟性の両方が必要であることが明らかになります。

■ Vocabulary
・vital: にとって非常に重要な, 生命の
・vivid: 生き生きとした, 鮮やかな
・revive: を生き返らせる, 生き返る
・essential: にとって重要な, 必要不可欠な, 本質的な
・indispensable: にとって重要な, 必要不可欠な
・crucial: 決定的な, 極めて重要な
・significance: 重要性
・consequence: 結果, 重要さ
・matter: 事柄, 問題, 重要である
・count: を数える, 重要である

■ Script
Hi, I'm Alex. In today's globalized economy, economic policies hold vital significance, shaping the very fabric of international relations. They're not just guidelines but essential pillars.
こんにちは、アレックスです。今日のグローバリゼーションされた経済において、経済政策は国際関係の基盤を形成する非常に重要な意味を持っています。それらは単なる指針ではなく、必要不可欠な柱です。

I'm Sarah, and while I see where you're coming from, Alex, I doubt that all policies are indispensable. Take, for instance, some nations that thrive despite, not because of, particular trade restrictions.
私はサラです。アレックス、あなたの言っていることは理解できますが、すべての政策が必要不可欠であるとは思いません。例えば、特定の貿易制限があるにもかかわらず、むしろそれがないことで繁栄している国もあります。

As a moderator, let me acknowledge Alex's point on the pivotal role of economic policies, while also recognizing Sarah's skepticism regarding their universality. Historically, some policies have indeed revived struggling economies, while others have led to unforeseen consequences.
司会者として、経済政策の重要な役割についてのアレックスの指摘を認めつつ、それらの普遍性に対するサラの懐疑をも受け入れます。歴史的に見ると、ある政策は苦境に立たされている経済を復活させてきた一方で、他の政策は予測できなかった結果をもたらしました。

Granted, not every policy achieves its intended vivid impact. However, their significance shouldn't be diminished because of a few exceptions. Their overarching effects are what count.
確かに、すべての政策が意図された鮮やかな影響を与えるわけではありません。しかし、いくつかの例外のためにその重要性を過小評価すべきではありません。重要なのはその包括的な効果です。

You have a point there, Alex. Yet, I believe that adaptability and evolution in policy-making are more crucial than rigid adherence to existing frameworks.
あなたにはその点で一理ありますね、アレックス。しかし、私は適応力と政策決定における進化が既存の枠組みに固執するよりも極めて重要であると考えています。

Let's pause and consider the broader historical perspective. Alex, your argument that policies are pivotal is reinforced by how they create stability in a tumultuous world economy. Sarah, your advocacy for flexibility is equally vital, particularly in unprecedented global situations.
歴史的観点からより広く見てみましょう。アレックス、政策が動乱の世界経済で安定を生むという主張は重要で、サラ、あなたの言う柔軟性の重要性も、特に前例のない地球規模の状況において不可欠です。


#東大リスニング #大学受験 #英語リスニング #英単語帳鉄壁 #難関大対策 #AI英語学習 #リスニング対策",,listening_todai,high,タイトルに東大リスニング対策と明記
PRlUPV5JSMg,【英語音声のみ】ターゲット1200｜601〜1200を“英語→2秒→英語”｜聞き流し,2026-02-07T23:35:03Z,1026,23,1,1545,https://i.ytimg.com/vi/PRlUPV5JSMg/maxresdefault.jpg,#英単語 #英語学習  #ターゲット1200  #聞き流し #受験勉強 #英語リスニング #暗記 #大学受験,,vocab_target1200,high,ターゲット1200の英単語聞き流し動画
AxXwYjYujX8,【英語音声のみ】ターゲット1200｜1〜600を“英語→2秒→英語”｜聞き流し,2026-02-07T19:56:08Z,1682,41,3,1532,https://i.ytimg.com/vi/AxXwYjYujX8/maxresdefault.jpg,#英単語 #英語学習  #ターゲット1200  #聞き流し #受験勉強 #英語リスニング #暗記 #大学受験,,vocab_target1200,high,ターゲット1200単語の聞き流し動画
gUQKxGGW0iA,【英語音声のみ】必携英単語 LEAP｜501〜1000を“英語→2秒→英語”｜聞き流し,2026-02-07T15:26:11Z,233,2,1,1527,https://i.ytimg.com/vi/gUQKxGGW0iA/maxresdefault.jpg,#英単語 #英語学習  #LEAP  #聞き流し #受験勉強 #英語リスニング #暗記 #大学受験,,vocab_leap,high,必携英単語LEAPの聞き流し動画
fd04IbkOamk,【英語音声のみ】必携英単語 LEAP｜1〜500を“英語→2秒→英語”｜聞き流し,2026-02-07T10:07:58Z,616,15,1,1527,https://i.ytimg.com/vi/fd04IbkOamk/maxresdefault.jpg,#英単語 #英語学習  #LEAP  #聞き流し #受験勉強 #英語リスニング #暗記 #大学受験,,vocab_leap,high,必携英単語LEAPの聞き流し動画
ckQWEMisY4o,【英語音声のみ】ターゲット1400｜1001〜1400を“英語→2秒→英語”｜聞き流し,2026-02-06T21:14:58Z,591,9,0,1310,https://i.ytimg.com/vi/ckQWEMisY4o/maxresdefault.jpg,#英単語 #英語学習  #ターゲット1400  #聞き流し #受験勉強 #英語リスニング #暗記 #大学受験,,vocab_target1400,high,ターゲット1400の英単語聞き流し動画
tws7bpA7Zro,【英語→日本語】ターゲット1400｜1〜500を“英語→2秒→日本語”｜聞き流し,2026-02-06T00:59:47Z,1428,37,24,2295,https://i.ytimg.com/vi/tws7bpA7Zro/maxresdefault.jpg,#英単語 #英語学習  #ターゲット1400  #聞き流し #受験勉強 #英語リスニング #暗記 #大学受験,,vocab_target1400,high,タイトルにターゲット1400明記の聞き流し動画
rxRTFx_nNEM,【英語音声のみ】鉄壁｜1501〜2000を“英語→2秒→英語”｜聞き流し,2026-02-05T21:07:18Z,330,4,2,1661,https://i.ytimg.com/vi/rxRTFx_nNEM/maxresdefault.jpg,#英単語 #英語学習  #鉄壁  #聞き流し #受験勉強 #英語リスニング #暗記 #大学受験,,vocab_teppeki,high,鉄壁1501～2000の英単語聞き流し動画
q85o7wPb1eE,【英語音声のみ】鉄壁｜501〜1000を“英語→2秒→英語”｜聞き流し,2026-02-05T16:48:56Z,334,6,0,1652,https://i.ytimg.com/vi/q85o7wPb1eE/maxresdefault.jpg,#英単語 #英語学習  #鉄壁  #聞き流し #受験勉強 #英語リスニング #暗記 #大学受験,,vocab_teppeki,high,鉄壁単語の聞き流し動画
mrE8LVDUmyw,【英語音声のみ】鉄壁｜1001〜1500を“英語→2秒→英語”｜聞き流し,2026-02-05T15:46:09Z,103,1,0,1637,https://i.ytimg.com/vi/mrE8LVDUmyw/maxresdefault.jpg,,,vocab_teppeki,high,鉄壁の英単語の聞き流し動画
y-BINGkGhvo,【英語音声のみ】ターゲット1400｜501〜1000を“英語→2秒→英語”｜聞き流し,2026-02-05T09:30:24Z,617,16,1,1635,https://i.ytimg.com/vi/y-BINGkGhvo/maxresdefault.jpg,#英単語 #英語学習  #ターゲット1400  #聞き流し #受験勉強 #英語リスニング #暗記 #大学受験,,vocab_target1400,high,ターゲット1400の英単語聞き流し動画だから
vOrxadNiNns,【英語音声のみ】ターゲット1400｜1〜500を“英語→2秒→日本語”｜聞き流し,2026-02-04T23:06:20Z,796,14,0,1636,https://i.ytimg.com/vi/vOrxadNiNns/maxresdefault.jpg,#英単語 #英語学習  #ターゲット1400 #聞き流し #受験勉強 #英語リスニング #暗記 #大学受験,,vocab_target1400,high,ターゲット1400の聞き流し動画であるため
3K7Qjo3C_ho,【英語音声のみ】鉄壁｜1〜500を“英語→2秒→英語”｜聞き流し,2026-02-04T22:32:34Z,681,9,3,1645,https://i.ytimg.com/vi/3K7Qjo3C_ho/maxresdefault.jpg,#英単語 #英語学習  #鉄壁  #聞き流し #受験勉強 #英語リスニング #暗記 #大学受験,,vocab_teppeki,high,鉄壁の単語を英語音声で聞き流し
YcfIjfrY3ug,【聞き流し】毎日聴くから英語脳になる　ターゲット1900の単語ベースのポッドキャスト,2026-01-31T15:30:48Z,135,0,4,922,https://i.ytimg.com/vi/YcfIjfrY3ug/maxresdefault.jpg,"🎧 Topic: How AI Algorithms Shape Our Daily Decisions 
📊 Level: ターゲット1900（大学入試レベル）

AIアルゴリズムが私たちの日常の決断にどう影響を与えているのか？最新のテクノロジーについて英語で学びましょう。

📌 タイムスタンプ（目次）
00:00 Intro - AIとの関わり
02:29 Main 1 - アルゴリズムの歴史とデータ
06:43 Main 2 - メリットとデメリット（プライバシーと効率） 
11:02 Main 3 - 実社会での具体例（SNSや採用） 
15:24 Vocabulary Corner - 重要単語10個の解説 
18:24 Outro - まとめとメッセージ

💡 Key Vocabulary（今日の重要単語）
ターゲット1900から、この動画に登場する重要単語をピックアップ。
・create (No. 1): を創り出す
・increase (No. 2): 増加する 
・improve (No. 3): を向上させる 
・mean (No. 4): を意味する 
・own (No. 5): を所有している 
・include (No. 6): を含む 
・consider (No. 7): を見なす 
・allow (No. 8): を許す 
・suggest (No. 9): を提案する 
・produce (No. 10): を生産する

⚠️ 免責事項
※本動画はAI（GPT-4o, TTS-1, DALL-E 3）によって自動生成された学習用コンテンツです。公式の「ターゲット1900」とは関係ありません。",,vocab_target1900,high,ターゲット1900単語ベースの聞き流し動画
kO81cbxODSQ,【ターゲット1900】英語→日本語音声　No.501-1000,2025-12-03T22:09:24Z,7774,96,7,2486,https://i.ytimg.com/vi/kO81cbxODSQ/hqdefault.jpg,,,vocab_target1900,high,ターゲット1900の英単語聞き流し動画
gC9g4S91lFQ,【システム英単語】英語→日本語音声　絶対覚えるエクササイズ,2025-11-07T22:27:49Z,240,4,0,1775,https://i.ytimg.com/vi/gC9g4S91lFQ/hqdefault.jpg,,,vocab_other,high,システム英単語の聞き流し動画
tAqv84T0wog,【ターゲット1200】英語→日本語音声　絶対覚えるエクササイズ,2025-10-31T16:13:41Z,7975,194,14,1469,https://i.ytimg.com/vi/tAqv84T0wog/hqdefault.jpg,,,vocab_target1200,high,タイトルにターゲット1200の聞き流し動画
XQD2Q130Wag,【ターゲット1900】英語→日本語音声　No.0-500,2025-09-29T15:41:40Z,11394,183,4,1560,https://i.ytimg.com/vi/XQD2Q130Wag/hqdefault.jpg,,,vocab_target1900,high,ターゲット1900の英単語聞き流し動画
eIwlG2DAiag,【ランダム】英単語帳 鉄壁を聞いて、発音、効率エクササイズ,2025-09-22T14:39:02Z,465,11,0,1989,https://i.ytimg.com/vi/eIwlG2DAiag/hqdefault.jpg,,,vocab_teppeki,high,鉄壁英単語の聞き流し練習動画
